Product Name,Original_Price,Selling_Price,Discount,Reviews,Ratings
Nutrova Collagen+Antioxidants Zero Sugar Powder - Watermelon,1200.0,2575,25.0,21.0,5
Plix The Plant Fix Plix Pomegranate Youth Renewal Night Care...,1850.0,907,51.0,154.0,4
"Oziva ACV Moringa To Control Cravings, Apple Cider Vinegar, ...",1716.0,1232,28.0,1150.0,4
"Bio-Oil Skincare Infused with Rosemary for Stretch Marks, Sc...",1450.0,1189,18.0,3315.0,5
Forest Essentials Lime Saffron & Oudh Natural After Bath Oil,1200.0,825,25.0,133.0,5
Be Bodywise Biotin Gummies 90 Day Pack With Zinc & Multivita...,1499.0,1240,17.0,295.0,4
"Wellbeing Nutrition Skin Fuel Glutathione, Skin Radiance, Bl...",899.0,699,22.0,209.0,4
OZiva Plant Based HerBalance for PCOS with Myo-Inositol- Pro...,1149.0,1049,9.0,1070.0,4
Oziva Vegan Collagen with Biotin & Vitamin C For Brighter & ...,959.0,869,9.0,2390.0,4
Kama Ayurveda Extra Virgin Organic Coconut Hair Oil,1200.0,1075,25.0,9847.0,5
"OZiva Magnesium Triple Complex With Aquamin Mg, Magnesium Bi...",1399.0,749,46.0,74.0,5
Chicnutrix Mighty Collagen Japanese Marine Collagen Peptides...,1800.0,1028,43.0,145.0,4
HealthKart Hk Vitals Skin Radiance Collagen Supplement With ...,1200.0,909,25.0,1324.0,4
"HealthKart HK Vitals Glutathione With Vitamin C & E, Biotin ...",1200.0,759,25.0,803.0,4
Oziva Magnesium Melatonin For Anxiety & Sleep With Bacopa Mo...,879.0,749,15.0,37.0,5
Sol de Janeiro Glowmotions Rio Sunset Glow Oil,1200.0,3865,25.0,47.0,4
HealthKart HK Vitals Glutathione Tablets - Orange,1200.0,759,25.0,264.0,4
HealthKart HK Vitals Skin Radiance Pro Marine Collagen Suppl...,2099.0,2009,4.0,63.0,4
"Oziva Nature Derived Calcium, Magnesium+Zinc With Vitamin D3",879.0,749,15.0,10.0,5
hoop Epsom Body Wash Epsom Salt Infused Shower Gel With Lave...,440.0,410,7.0,77.0,5
"OZiva Bioactive Gluta Fizzy (L-Glutathione), Reduce Cellular...",2298.0,1399,39.0,675.0,4
MuscleBlaze Biozyme Performance Whey Protein - Rich Chocolat...,3599.0,3399,6.0,543.0,4
"Neuherbs Deep Sea Fish Oil for Muscle, Joints, Heart and Cog...",999.0,749,25.0,736.0,4
OZiva Glutathione Builder Milk Thistle & Grapeseed for Anti-...,759.0,659,13.0,1260.0,4
Miduty Stop Aging Trans Resveratrol 99% Supplement Green Tea...,1200.0,1680,25.0,119.0,5
Miduty Liposomal Glutathione 40% Anti Aging Skin Brightening...,1200.0,1493,25.0,185.0,5
Mountainor Collagen for Youthful & Glowing Skin with Biotin ...,899.0,729,19.0,511.0,4
"Wellbeing Nutrition Beauty Collagen Peptides, HLA & Biotin, ...",1999.0,1699,15.0,208.0,4
L'Occitane Almond Supple Skin Oil,1200.0,850,25.0,375.0,5
"Carbamide Forte PCOS Supplement for Women, 40:1 Ratio Myo-In...",1260.0,895,29.0,65.0,4
MOUNTAINOR Deep Sea Omega 3 Fish Oil 2500MG of Wild Alaska M...,1199.0,749,38.0,189.0,4
Setu Skin Renew L-Glutathione Tablets with Vitamin C for Cle...,4200.0,2499,40.0,4251.0,4
Plix The Plant Fix ACV CQR Plus Effervescent Tablets For Fat...,1500.0,1185,21.0,50.0,4
"Dr. Su Glow X Grow 6-In-1 Beauty Supplement For Skin, Hair &...",1349.0,1187,12.0,183.0,5
